name,popularity,play_count
Dakiti,100,500002027
Mood (feat. iann dior),99,741554343
Dynamite,97,624093677
Blinding Lights,96,1874761848
WAP (feat. Megan Thee Stallion),96,640449618
positions,96,398244373
What You Know Bout Love,96,381185329
For The Night (feat. Lil Baby & DaBaby),95,472543922
you broke me first,95,434509540
Holy (feat. Chance The Rapper),95,301963698
Lonely (with benny blanco),95,263173873
Watermelon Sugar,94,1013887930
Lemonade,94,531253679
Head & Heart (feat. MNEK),94,434938255
RelaciÃ³n - Remix,94,277891420
Heather,93,394506330
Laugh Now Cry Later (feat. Lil Durk),93,381095061
Put Your Records On,93,223818089
Therefore I Am,93,223427144
Breaking Me,92,623603479
UN DIA (ONE DAY) (Feat. Tainy),92,347355757
Take You Dancing,92,261411745
34+35,92,239279653
Wonder,92,203660465
Someone You Loved,91,1724932393
Savage Love (Laxed - Siren Beat),91,643225614
"Ay, DiOs MÃ­o!",91,310297438
POPSTAR (feat. Drake),91,304673753
Midnight Sky,91,253416676
Come & Go (with Marshmello),90,369744703
Wishing Well,90,337090372
Mood Swings (feat. Lil Tjay),90,308237186
Sofia,90,181813749
Daisy,90,162792105
Lucid Dreams,89,1513782311
lovely (with Khalid),89,1274210015
Circles,89,1264999032
The Box,89,1131831743
Dreams - 2004 Remaster,89,601743875
Falling,88,987205041
All I Want for Christmas Is You,88,911130025
HIGHEST IN THE ROOM,88,827985221
Robbery,88,678247855
Train Wreck,88,196447924
Believer,87,1593960433
Jocelyn Flores,87,1336989144
Sweater Weather,87,759771487
All Girls Are The Same,87,708525596
Electric Love,87,446960805
Say You Won't Let Go,86,1620636989
Perfect,86,1615671605
All of Me,86,1379288853
Santa Tell Me,86,520888017
Daddy Issues,86,341187251
Everybody Dies In Their Nightmares,85,780247161
The Less I Know The Better,85,706550337
Rockin' Around The Christmas Tree,85,407754535
Play Date,85,351816338
Clean White Noise - Loopable with no fade,85,50021750
Every Breath You Take,84,794553509
Take on Me,84,791721155
Yellow,84,740846752
Back In Black,84,706595612
Highway to Hell,84,694024600
Africa,83,923937415
Billie Jean,83,799245601
Hotel California - 2013 Remaster,83,753620730
Livin' On A Prayer,83,682689212
Thunderstruck,83,650395973
Sweet Home Alabama,82,696053531
Here Comes The Sun - Remastered 2009,82,580559888
Summer Of '69,82,550551797
"Rocket Man (I Think It's Going To Be A Long, Long Time)",82,506828212
The Chain - 2004 Remaster,82,465053310
Don't Stop Believin',81,980189531
Under the Bridge,81,724762169
Sweet Dreams (Are Made of This) - Remastered,81,640050518
Fortunate Son,81,558461777
Mr. Blue Sky,81,480058874
September,80,768092854
Ain't No Mountain High Enough,80,610387306
You Give Love A Bad Name,80,507782024
You Shook Me All Night Long,80,490772250
Landslide,80,323863055
Brown Eyed Girl,79,504403353
My Girl,79,452742157
Tiny Dancer,79,397058193
Come Together - Remastered 2009,79,373803207
California Dreamin' - Single Version,79,304120552
"Paint It, Black",78,519221818
Can't Help Falling in Love,78,387301984
Stand by Me,78,335569747
All Along the Watchtower,78,399370164
Sweet Caroline,78,334502313
Yesterday - Remastered 2009,77,296495151
(I Can't Get No) Satisfaction - Mono Version,77,365587770
Whole Lotta Love - 1990 Remaster,77,315215233
"Signed, Sealed, Delivered (I'm Yours)",77,315305088
Immigrant Song - Remaster,77,352769760
At Last,76,227280843
"Mrs. Robinson - From ""The Graduate"" Soundtrack",76,315090775
I Say a Little Prayer,76,286382416
Gimme Shelter,76,318102557
I Want You Back,76,501024258
Sympathy For The Devil - 50th Anniversary Edition,75,312989822
(Sittin' On) the Dock of the Bay,75,312042937
American Pie,75,343238112
Let's Stay Together,75,277327507
You're so Vain,75,223189567
Jump Around,74,277252180
Bulls On Parade,74,205865656
Down Under,74,389548548
Truly Madly Deeply,74,256725553
Freak On a Leash,74,204812131
Time After Time,73,325825120
99 Luftballons,73,207827423
This Charming Man - 2011 Remaster,73,187726529
You're the Inspiration - 2006 Remaster,73,161404106
Forever Young,73,272289908
Follow Me,72,183226201
(What A) Wonderful World,72,257767824
Papercut,72,212159510
My Only Wish (This Year),72,203871484
Trouble,72,239789901
Only Time,71,166479027
7 Days,71,178198730
Youth of the Nation,71,153241055
Survivor,71,267066341
"Harder, Better, Faster, Stronger",71,172499416
Straight Outta Compton,70,204921634
Fuck Tha Police,70,176527711
Love Shack,70,102265777
Epic,70,110432833
Rayando El Sol,70,149483544
Dr. Feelgood,69,112636616
18 and Life,69,134378121
Here Comes Your Man,69,102659401
The Girl From Ipanema,69,89261579
Live And Let Die,69,71782429
Fly Like An Eagle,68,85901656
Isn't She Lovely,68,98277362
Cold as Ice,68,105405015
Last Train to London,68,57524858
Take It On the Run,68,72319307
It's Still Rock and Roll to Me,67,92454648
Pride and Joy,67,90238467
Easy Lover,67,149561497
We Belong,67,82737546
Sussudio - 2016 Remaster,67,76830632
All the Love in the World,67,43943900
Always On My Mind,66,51548762
Crazy On You,66,79099699
Slow Ride,66,71698077
Lyin' Eyes - 2013 Remaster,66,72888891
Show Me The Way,66,542188504
Cruel Summer,65,64566656
Your Love Is King,65,84944952
Run To You,65,73561041
Forever Young - 2019 Remaster,65,55244963
Small Town,65,88982713
Suck My Kiss,64,64792691
The King of Wishful Thinking,64,46012379
Wake Up,64,97808176
Nightswimming,64,40983305
One Last Cry,64,39667221
He's the Greatest Dancer,63,61144583
Thinking of You,63,21761364
You May Be Right,63,34134092
867-5309 / Jenny,63,39468287
Give It To Me Baby,63,50478362
I Feel for You,62,28566113
Foolish Heart,62,24954271
Pedro Y Pablo,62,23821420
Shot in the Dark,62,33705287
I'm Your Man,62,23844294
Close My Eyes Forever,61,33544610
Born To Be My Baby,61,39836901
Once Bitten Twice Shy,61,30147330
Head Like A Hole,61,32171844
Love Buzz,61,35185818
We Got The Beat,60,33692231
Heavy Metal,60,22524583
Urgent,60,31914712
"Baby, Come To Me",60,29963426
You Can Do Magic,60,28869850
Elvira,59,17387574
Tempted,59,17413718
Waiting On A Friend - Remastered 2009,59,25962177
You Dropped A Bomb On Me,59,26340153
I Won't Hold You Back,59,21170375
Cheeseburger In Paradise,58,25052441
Romeo's Tune,58,11752023
Brujeria,58,18718531
It's My House,58,12647858
She's Out of My Life - Single Version,58,31403498
Let It Ride,57,19721672
You Are Everything,57,17324317
The Bitch Is Back,57,21567503
Lovin' You,57,23212776
Fly By Night,57,22983584
Dog Eat Dog,56,14143728
Hong Kong Garden,56,17587962
"Train, Train",56,12243973
Cruel to Be Kind,56,11691039
The Long Run - 2013 Remaster,56,22213185
Hammer Smashed Face,55,13797642
Let's Get Rocked,55,10992439
Green Machine,55,14561011
Come Baby Come,55,16682222
Milk It,55,14332130
Freeze-Frame,54,11929959
Over the Mountain,54,16837136
Controversy,54,11582194
All Those Years Ago - Remastered 2004,54,12831465
Atomic Dog,54,13289441
Tea for Two,53,831510
If I Give My Heart to You (with The Mellomen),53,6535042
Sin Ti - Remasterizado,53,7196010
Softly As In A Morning Sunrise,53,4993896
The Christmas Waltz - Remastered,53,13863674
Mack the Knife,52,42139016
Gloomy Sunday (with Teddy Wilson & His Orchestra) - Take 1,52,16449593
Where Did You Sleep Last Night,52,13957165
I Get A Kick Out Of You,52,11151661
Double Trouble,52,8698600
"Sing, Sing, Sing",51,32342942
Easy Living (with Teddy Wilson & His Orchestra),51,25215331
In the Mood,51,51855138
I've Got Plenty To Be Thankful For,51,2820144
I Can't Quit You Baby,51,23868752
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),50,305505721
Little Red Rooster,50,5985412
Mambo Italiano (with The Mellomen) - 78rpm Version,50,10224806
My Funny Valentine - Remastered,50,11485140
Hello! Ma Baby,50,2428828
Ain't Misbehavin',49,5766389
Cheek to Cheek,49,7758683
Christmas In Killarney,49,5637509
"Baby, It's Cold Outside (with Dorothy Kirsten)",49,3693637
Up On The House Top (Ho Ho Ho) (with Carl Cotner's Orchestra),49,2248798
The Way You Look Tonight (with Teddy Wilson & His Orchestra) - Take 2,48,7136473
Come Back To Sorrento,48,4823703
"The Theme from ""A Summer Place"" - Single Version",48,16932348
Cama de Piedra,48,4120628
Blue Monk - Rudy Van Gelder Remaster,48,11357370
"Dark Was the Night, Cold Was the Ground",47,7461224
The Man I Love,47,5422450
Lullaby of Broadway (with Harry James & His Orchestra),47,3839444
Ahmad's Blues,47,8730968
Count Your Blessings Instead Of Sheep,47,1852641
Me and the Devil Blues,46,3719377
Jackson (with June Carter Cash),46,3631458
That's Where The South Begins,46,1485444
Finale/Hallelujah,46,265735
Joy Spring,46,1737365
Two Sleepy People,45,1109473
Sentimental Journey (with Les Brown & His Orchestra),45,4210650
Come On-A My House,45,3473208
Winter Wonderland - Single Version,45,4518608
"My Woman, My Woman, My Wife",45,2109158
Cross Road Blues - Take 1,44,8968050
Foolin' Myself (with Teddy Wilson & His Orchestra),44,3012879
Chattanooga Choo Choo,44,98628
Let's Start The New Year Off Right,44,19986162
OPM Medley: When I Met You,44,2539993
This Year's Kisses (with Teddy Wilson & His Orchestra),43,2639491
Faith Of Our Fathers,43,197894
If You've Got the Money I've Got the Time,43,3102450
Shake Hands with Santa Claus - Mono Recording,43,2875888
Leap Frog - Take 11 / Take 6 / Master Take,43,1584320
Weather Bird,42,3240927
It's Nobody's Fault but Mine,42,4293702
If You Were Mine (with Teddy Wilson & His Orchestra),42,2709322
Miss Brown to You (with Teddy Wilson & His Orchestra),42,2765238
Come On In My Kitchen,42,5638143
Singin' The Blues,41,4318009
Blue Moon of Kentucky,41,1960040
Paloma Querida,41,579314
I'd Cry Like A Baby,41,2167257
Under The Bridges Of Paris,41,2567243
I Wished On the Moon (with Teddy Wilson & His Orchestra),40,1725648
Can the Circle Be Unbroken,40,2331231
Wabash Cannonball,40,521601
If I Only Had A Brain - Extended Version,40,2374722
Tain't What You Do (It's The Way That You Do It),40,2271069
These Foolish Things (Remind Me of You) (with Teddy Wilson & His Orchestra),39,2788410
Wildwood Flower,39,1166526
All Or Nothing At All,39,1920346
Follow The Yellow Brick Road / You're Off To See The Wizard,39,1993264
Il cielo in una stanza,39,2423367
Why Don't You Do Right? (feat. Peggy Lee),38,2008208
"Cabaret (from ""Cabaret"")",38,2741664
How High The Moon,38,3009814
Embraceable You,38,3243950
Con Alma,38,3395876
"On the Sunny Side of the Street (From ""Is Everybody Happy?"")",37,1333070
I Can't Believe That You're In Love With Me,37,3149257
We're Off To See The Wizard - Duo,37,1671265
Half As Much (with Percy Faith & His Orchestra),37,1258168
Botch-A-Me (Ba-Ba-Baciami Piccina),37,2153061
Chorra,36,633475
I Can't Give You Anything but Love (with Teddy Wilson & His Orchestra),36,1500321
Man Stealer Blues,36,1664299
Preachin' Blues (Up Jumped the Devil),36,1216669
A Guy Is a Guy,36,1550713
What a Little Moonlight Can Do (with Teddy Wilson & His Orchestra),35,6450865
Doin' The Uptown Lowdown,35,366403
Doin' The Jive,35,763218
Love in Vain - Take 1,35,2375021
I Believe I'll Dust My Broom,35,1408901
When You're Smiling (The Whole World Smiles with You) (with Teddy Wilson & His Orchestra) - Take 3,34,1214564
Frenesi,34,2606441
Don't Sit Under the Apple Tree (with Anyone Else but Me),34,1683672
Got The Bottle Up And Gone,34,1241156
O mio babbino caro from Gianni Schicchi,34,1808146
Blue Skies - 78rpm Version,33,420434
Moonlight Cocktail,33,1310204
If I Only Had A Heart - Extended Version,33,1202763
Munchkinland Musical Sequence,33,390371
"Looky, Looky, Yonder / Black Betty / Yellow Women's Doorbells",33,3217640
Ain't Misbehavin',32,654182
Georgia On My Mind (with Eddie Heywood & His Orchestra) - Take 1,32,1375463
I Cover the Waterfront,32,2393769
That's Life I Guess (with Teddy Wilson & His Orchestra) - Take 1,32,484254
Sleepy Time Gal,32,309777
Little Jack Frost Get Lost (with Marjorie Hughes) - 78rpm Version,31,1109077
"Brother, Can You Spare a Dime? (with Lenny Hayton & His Orchestra)",31,936619
Ma L'Amore No,31,299877
Yankee Doodle Never Went to Town (feat. Billie Holiday) - Take 1,31,702051
He Ain't Got Rhythm (with Teddy Wilson & His Orchestra),31,681994
Manhattan Serenade,30,284335
Let Your Light Shine on Me,30,800980
Papa's on the House Top,30,1363295
Fita Amarela,30,1277441
There's Frost On The Moon,30,632671
'Tain't Nobody's Bizness If I Do,29,1013949
I'm Gettin' Sentimental Over You,29,573390
The Soul of a Man,29,643658
Pennies from Heaven (with Teddy Wilson & His Orchestra) - Take 1,29,734251
When a Woman Loves a Man,29,695698
Honeysuckle Rose,28,997602
All My Life - Live,28,679090
"If I Knew You Were Comin', I'd've Baked a Cake",28,873345
Getting Some Fun Out of Life,28,869582
Kind Hearted Woman Blues,28,492416
"Empty Bed Blues, Pt. 1",27,1159047
I'm Gonna Sit Right Down and Write Myself a Letter,27,2072004
Till The Cows Come Home,27,240810
Shave 'Em Dry II,27,271868
Them There Eyes,27,1516116
Send Me to the 'Lectric Chair,26,350592
Need a Little Sugar in My Bowl,26,827715
I'm Coming Virginia,26,464768
Back In Your Own Backyard - Take 2,26,311755
A Fine Romance - Take 1,26,511836
The Rumba Dance,25,175489
Things Are Looking Up (with Teddy Wilson & His Orchestra),25,200033
Your Mother's Son-In-Law (with Benny Goodman & His Orchestra),25,359954
Walkin' Blues,25,751135
Traveling Riverside Blues - Alternate Take,25,1411876
Young Woman's Blues,24,160112
Your Feet's Too Big,24,854932
In a Mist,24,289879
Jesus Make Up My Dying Bed,24,733070
Ghost of Yesterday,24,209397
Song of India,23,62287
Wild Man Blues,23,89494
Basin Street Blues,23,620108
Hotter Than That,23,437991
Sleigh Ride (with Paula Kelly),23,687330
St. Louis Blues (with Louis Armstrong),22,1062764
Me and My Gin,22,123454
Baby Won't You Please Come Home,22,210437
Careless Love,22,425190
St. Louis Blues,22,245833
Functionizin',21,423212
Potato Head Blues,21,736995
Wolverine Blues - 1990 Remastered - Take 1,21,151099
Muggles,21,269926
God Moves On the Water,21,381568
Snake Rag,20,156537
Backwater Blues,20,496351
"Come Back, Sweet Papa",20,378651
Star Dust,20,388603
Someone to Watch Over Me - Live,20,563104
