name,popularity,play_count,revenue_for_plays
Dakiti,100,500002027,2218508.99
Mood (feat. iann dior),99,741554343,3290276.62
Dynamite,97,624093677,2769103.64
Blinding Lights,96,1874761848,8318318.32
WAP (feat. Megan Thee Stallion),96,640449618,2841674.96
positions,96,398244373,1767010.28
What You Know Bout Love,96,381185329,1691319.30
For The Night (feat. Lil Baby & DaBaby),95,472543922,2096677.38
you broke me first,95,434509540,1927918.83
Holy (feat. Chance The Rapper),95,301963698,1339812.93
Lonely (with benny blanco),95,263173873,1167702.47
Watermelon Sugar,94,1013887930,4498620.75
Lemonade,94,531253679,2357172.57
Head & Heart (feat. MNEK),94,434938255,1929821.04
RelaciÃ³n - Remix,94,277891420,1233004.23
Heather,93,394506330,1750424.59
Laugh Now Cry Later (feat. Lil Durk),93,381095061,1690918.79
Put Your Records On,93,223818089,993080.86
Therefore I Am,93,223427144,991346.24
Breaking Me,92,623603479,2766928.64
UN DIA (ONE DAY) (Feat. Tainy),92,347355757,1541217.49
Take You Dancing,92,261411745,1159883.91
34+35,92,239279653,1061683.82
Wonder,92,203660465,903641.48
Someone You Loved,91,1724932393,7653525.03
Savage Love (Laxed - Siren Beat),91,643225614,2853992.05
"Ay, DiOs MÃ­o!",91,310297438,1376789.73
POPSTAR (feat. Drake),91,304673753,1351837.44
Midnight Sky,91,253416676,1124409.79
Come & Go (with Marshmello),90,369744703,1640557.25
Wishing Well,90,337090372,1495669.98
Mood Swings (feat. Lil Tjay),90,308237186,1367648.39
Sofia,90,181813749,806707.60
Daisy,90,162792105,722308.57
Lucid Dreams,89,1513782311,6716652.11
lovely (with Khalid),89,1274210015,5653669.84
Circles,89,1264999032,5612800.70
The Box,89,1131831743,5021937.44
Dreams - 2004 Remaster,89,601743875,2669937.57
Falling,88,987205041,4380228.77
All I Want for Christmas Is You,88,911130025,4042683.92
HIGHEST IN THE ROOM,88,827985221,3673770.43
Robbery,88,678247855,3009385.73
Train Wreck,88,196447924,871639.44
Believer,87,1593960433,7072402.44
Jocelyn Flores,87,1336989144,5932220.83
Sweater Weather,87,759771487,3371106.09
All Girls Are The Same,87,708525596,3143728.07
Electric Love,87,446960805,1983165.09
Say You Won't Let Go,86,1620636989,7190766.32
Perfect,86,1615671605,7168734.91
All of Me,86,1379288853,6119904.64
Santa Tell Me,86,520888017,2311180.13
Daddy Issues,86,341187251,1513847.83
Everybody Dies In Their Nightmares,85,780247161,3461956.65
The Less I Know The Better,85,706550337,3134963.85
Rockin' Around The Christmas Tree,85,407754535,1809206.87
Play Date,85,351816338,1561009.09
Clean White Noise - Loopable with no fade,85,50021750,221946.50
Every Breath You Take,84,794553509,3525433.92
Take on Me,84,791721155,3512866.76
Yellow,84,740846752,3287137.04
Back In Black,84,706595612,3135164.73
Highway to Hell,84,694024600,3079387.15
Africa,83,923937415,4099510.31
Billie Jean,83,799245601,3546252.73
Hotel California - 2013 Remaster,83,753620730,3343815.18
Livin' On A Prayer,83,682689212,3029092.03
Thunderstruck,83,650395973,2885806.93
Sweet Home Alabama,82,696053531,3088389.52
Here Comes The Sun - Remastered 2009,82,580559888,2575944.22
Summer Of '69,82,550551797,2442798.32
"Rocket Man (I Think It's Going To Be A Long, Long Time)",82,506828212,2248796.78
The Chain - 2004 Remaster,82,465053310,2063441.54
Don't Stop Believin',81,980189531,4349100.95
Under the Bridge,81,724762169,3215769.74
Sweet Dreams (Are Made of This) - Remastered,81,640050518,2839904.15
Fortunate Son,81,558461777,2477894.90
Mr. Blue Sky,81,480058874,2130021.22
September,80,768092854,3408027.99
Ain't No Mountain High Enough,80,610387306,2708288.48
You Give Love A Bad Name,80,507782024,2253028.84
You Shook Me All Night Long,80,490772250,2177556.47
Landslide,80,323863055,1436980.38
Brown Eyed Girl,79,504403353,2238037.68
My Girl,79,452742157,2008816.95
Tiny Dancer,79,397058193,1761747.20
Come Together - Remastered 2009,79,373803207,1658564.83
California Dreamin' - Single Version,79,304120552,1349382.89
"Paint It, Black",78,519221818,2303787.21
Can't Help Falling in Love,78,387301984,1718458.90
Stand by Me,78,335569747,1488922.97
All Along the Watchtower,78,399370164,1772005.42
Sweet Caroline,78,334502313,1484186.76
Yesterday - Remastered 2009,77,296495151,1315548.98
(I Can't Get No) Satisfaction - Mono Version,77,365587770,1622112.94
Whole Lotta Love - 1990 Remaster,77,315215233,1398609.99
"Signed, Sealed, Delivered (I'm Yours)",77,315305088,1399008.68
Immigrant Song - Remaster,77,352769760,1565239.43
At Last,76,227280843,1008445.10
"Mrs. Robinson - From ""The Graduate"" Soundtrack",76,315090775,1398057.77
I Say a Little Prayer,76,286382416,1270678.78
Gimme Shelter,76,318102557,1411421.05
I Want You Back,76,501024258,2223044.63
Sympathy For The Devil - 50th Anniversary Edition,75,312989822,1388735.84
(Sittin' On) the Dock of the Bay,75,312042937,1384534.51
American Pie,75,343238112,1522947.50
Let's Stay Together,75,277327507,1230502.15
You're so Vain,75,223189567,990292.11
Jump Around,74,277252180,1230167.92
Bulls On Parade,74,205865656,913425.92
Down Under,74,389548548,1728426.91
Truly Madly Deeply,74,256725553,1139091.28
Freak On a Leash,74,204812131,908751.43
Time After Time,73,325825120,1445686.06
99 Luftballons,73,207827423,922130.28
This Charming Man - 2011 Remaster,73,187726529,832942.61
You're the Inspiration - 2006 Remaster,73,161404106,716150.02
Forever Young,73,272289908,1208150.32
Follow Me,72,183226201,812974.65
(What A) Wonderful World,72,257767824,1143715.84
Papercut,72,212159510,941351.75
My Only Wish (This Year),72,203871484,904577.77
Trouble,72,239789901,1063947.79
Only Time,71,166479027,738667.44
7 Days,71,178198730,790667.77
Youth of the Nation,71,153241055,679930.56
Survivor,71,267066341,1184973.36
"Harder, Better, Faster, Stronger",71,172499416,765379.91
Straight Outta Compton,70,204921634,909237.29
Fuck Tha Police,70,176527711,783253.45
Love Shack,70,102265777,453753.25
Epic,70,110432833,489990.48
Rayando El Sol,70,149483544,663258.48
Dr. Feelgood,69,112636616,499768.67
18 and Life,69,134378121,596235.72
Here Comes Your Man,69,102659401,455499.76
The Girl From Ipanema,69,89261579,396053.63
Live And Let Die,69,71782429,318498.64
Fly Like An Eagle,68,85901656,381145.65
Isn't She Lovely,68,98277362,436056.66
Cold as Ice,68,105405015,467682.05
Last Train to London,68,57524858,255237.79
Take It On the Run,68,72319307,320880.77
It's Still Rock and Roll to Me,67,92454648,410221.27
Pride and Joy,67,90238467,400388.08
Easy Lover,67,149561497,663604.36
We Belong,67,82737546,367106.49
Sussudio - 2016 Remaster,67,76830632,340897.51
All the Love in the World,67,43943900,194979.08
Always On My Mind,66,51548762,228721.86
Crazy On You,66,79099699,350965.36
Slow Ride,66,71698077,318124.37
Lyin' Eyes - 2013 Remaster,66,72888891,323408.01
Show Me The Way,66,542188504,2405690.39
Cruel Summer,65,64566656,286482.25
Your Love Is King,65,84944952,376900.75
Run To You,65,73561041,326390.34
Forever Young - 2019 Remaster,65,55244963,245121.90
Small Town,65,88982713,394816.30
Suck My Kiss,64,64792691,287485.17
The King of Wishful Thinking,64,46012379,204156.93
Wake Up,64,97808176,433974.88
Nightswimming,64,40983305,181842.92
One Last Cry,64,39667221,176003.46
He's the Greatest Dancer,63,61144583,271298.51
Thinking of You,63,21761364,96555.17
You May Be Right,63,34134092,151452.97
867-5309 / Jenny,63,39468287,175120.79
Give It To Me Baby,63,50478362,223972.49
I Feel for You,62,28566113,126747.84
Foolish Heart,62,24954271,110722.10
Pedro Y Pablo,62,23821420,105695.64
Shot in the Dark,62,33705287,149550.36
I'm Your Man,62,23844294,105797.13
Close My Eyes Forever,61,33544610,148837.43
Born To Be My Baby,61,39836901,176756.33
Once Bitten Twice Shy,61,30147330,133763.70
Head Like A Hole,61,32171844,142746.47
Love Buzz,61,35185818,156119.47
We Got The Beat,60,33692231,149492.43
Heavy Metal,60,22524583,99941.57
Urgent,60,31914712,141605.58
