name,popularity,play_count,spotify_revenue,apple_revenue
Dakiti,100,500002027,2218508.99,3675014.90
Mood (feat. iann dior),99,741554343,3290276.62,5450424.42
Dynamite,97,624093677,2769103.64,4587088.53
Blinding Lights,96,1874761848,8318318.32,13779499.58
WAP (feat. Megan Thee Stallion),96,640449618,2841674.96,4707304.69
positions,96,398244373,1767010.28,2927096.14
What You Know Bout Love,96,381185329,1691319.30,2801712.17
For The Night (feat. Lil Baby & DaBaby),95,472543922,2096677.38,3473197.83
you broke me first,95,434509540,1927918.83,3193645.12
Holy (feat. Chance The Rapper),95,301963698,1339812.93,2219433.18
Lonely (with benny blanco),95,263173873,1167702.47,1934327.97
Watermelon Sugar,94,1013887930,4498620.75,7452076.29
Lemonade,94,531253679,2357172.57,3904714.54
Head & Heart (feat. MNEK),94,434938255,1929821.04,3196796.17
RelaciÃ³n - Remix,94,277891420,1233004.23,2042501.94
Heather,93,394506330,1750424.59,2899621.53
Laugh Now Cry Later (feat. Lil Durk),93,381095061,1690918.79,2801048.70
Put Your Records On,93,223818089,993080.86,1645062.95
Therefore I Am,93,223427144,991346.24,1642189.51
Breaking Me,92,623603479,2766928.64,4583485.57
UN DIA (ONE DAY) (Feat. Tainy),92,347355757,1541217.49,2553064.81
Take You Dancing,92,261411745,1159883.91,1921376.33
34+35,92,239279653,1061683.82,1758705.45
Wonder,92,203660465,903641.48,1496904.42
Someone You Loved,91,1724932393,7653525.03,12678253.09
Savage Love (Laxed - Siren Beat),91,643225614,2853992.05,4727708.26
"Ay, DiOs MÃ­o!",91,310297438,1376789.73,2280686.17
POPSTAR (feat. Drake),91,304673753,1351837.44,2239352.08
Midnight Sky,91,253416676,1124409.79,1862612.57
Come & Go (with Marshmello),90,369744703,1640557.25,2717623.57
Wishing Well,90,337090372,1495669.98,2477614.23
Mood Swings (feat. Lil Tjay),90,308237186,1367648.39,2265543.32
Sofia,90,181813749,806707.60,1336331.06
Daisy,90,162792105,722308.57,1196521.97
Lucid Dreams,89,1513782311,6716652.11,11126299.99
lovely (with Khalid),89,1274210015,5653669.84,9365443.61
Circles,89,1264999032,5612800.70,9297742.89
The Box,89,1131831743,5021937.44,8318963.31
Dreams - 2004 Remaster,89,601743875,2669937.57,4422817.48
Falling,88,987205041,4380228.77,7255957.05
All I Want for Christmas Is You,88,911130025,4042683.92,6696805.68
HIGHEST IN THE ROOM,88,827985221,3673770.43,6085691.37
Robbery,88,678247855,3009385.73,4985121.73
Train Wreck,88,196447924,871639.44,1443892.24
Believer,87,1593960433,7072402.44,11715609.18
Jocelyn Flores,87,1336989144,5932220.83,9826870.21
